Image number,Brightness,Red,Green,Blue,Object,Reliability,Size of box
19,130.1720777777778,131.88765555555557,132.14490833333332,125.61866944444444,car,99.8885989189148,4214.0
19,130.1720777777778,131.88765555555557,132.14490833333332,125.61866944444444,car,96.10984325408936,196.0
19,130.1720777777778,131.88765555555557,132.14490833333332,125.61866944444444,car,63.86064291000366,624.0
19,130.1720777777778,131.88765555555557,132.14490833333332,125.61866944444444,car,98.50785732269289,1364.0
20,129.52118333333334,123.39567777777778,131.43565833333332,128.0587361111111,truck,98.86263608932497,29230.0
20,129.52118333333334,123.39567777777778,131.43565833333332,128.0587361111111,car,82.88666605949402,270.0
20,129.52118333333334,123.39567777777778,131.43565833333332,128.0587361111111,car,90.30178189277648,700.0
21,126.34883888888888,124.47591388888888,127.06711666666666,125.53796666666666,car,99.69887733459473,39032.0
21,126.34883888888888,124.47591388888888,127.06711666666666,125.53796666666666,car,68.0992603302002,4950.0
21,126.34883888888888,124.47591388888888,127.06711666666666,125.53796666666666,car,99.70492124557497,3834.0
21,126.34883888888888,124.47591388888888,127.06711666666666,125.53796666666666,truck,60.85271835327149,575.0
21,126.34883888888888,124.47591388888888,127.06711666666666,125.53796666666666,person,91.82255268096924,140.0
22,151.16863333333333,146.70711111111112,150.8901,153.44623055555556,,,
23,142.8436861111111,140.36214722222223,144.88210833333332,139.74575,,,
24,112.87539444444444,109.79762222222222,114.0613,111.62782222222222,,,
25,113.29161388888888,111.56889444444444,114.43924722222222,111.62706111111112,bus,92.042738199234,16224.0
25,113.29161388888888,111.56889444444444,114.43924722222222,111.62706111111112,car,77.9747724533081,648.0
25,113.29161388888888,111.56889444444444,114.43924722222222,111.62706111111112,car,82.47930407524109,414.0
25,113.29161388888888,111.56889444444444,114.43924722222222,111.62706111111112,car,97.74656295776369,1128.0
25,113.29161388888888,111.56889444444444,114.43924722222222,111.62706111111112,car,88.98511528968811,1386.0
26,120.82285277777778,117.44665,122.04335833333332,119.65391111111111,,,
27,135.7478,131.83915555555555,135.9445888888889,136.76413055555557,car,88.54146599769592,15180.0
27,135.7478,131.83915555555555,135.9445888888889,136.76413055555557,car,97.23822474479675,4503.0
27,135.7478,131.83915555555555,135.9445888888889,136.76413055555557,car,97.89034128189088,840.0
27,135.7478,131.83915555555555,135.9445888888889,136.76413055555557,car,72.42462635040283,140.0
27,135.7478,131.83915555555555,135.9445888888889,136.76413055555557,car,75.98564028739929,154.0
27,135.7478,131.83915555555555,135.9445888888889,136.76413055555557,car,61.45476698875427,434.0
27,135.7478,131.83915555555555,135.9445888888889,136.76413055555557,car,98.2942283153534,1748.0
28,127.60589444444444,120.83046666666668,129.20414166666666,127.03034722222222,car,97.48176336288452,8549.0
28,127.60589444444444,120.83046666666668,129.20414166666666,127.03034722222222,motorbike,61.70812249183655,1312.0
29,123.3300611111111,117.63854722222224,123.46391111111112,125.18296388888888,car,62.54613399505615,7623.0
29,123.3300611111111,117.63854722222224,123.46391111111112,125.18296388888888,car,93.19854974746704,247.0
29,123.3300611111111,117.63854722222224,123.46391111111112,125.18296388888888,car,92.29548573493958,280.0
29,123.3300611111111,117.63854722222224,123.46391111111112,125.18296388888888,car,99.00993704795836,1517.0
30,140.20158055555555,136.05416666666667,140.17825,141.79011111111112,motorbike,75.75352191925049,3465.0
30,140.20158055555555,136.05416666666667,140.17825,141.79011111111112,motorbike,80.64773678779602,3157.0
30,140.20158055555555,136.05416666666667,140.17825,141.79011111111112,motorbike,79.74302172660828,2898.0
30,140.20158055555555,136.05416666666667,140.17825,141.79011111111112,motorbike,87.84741759300232,2997.0
30,140.20158055555555,136.05416666666667,140.17825,141.79011111111112,car,93.94766092300416,176.0
30,140.20158055555555,136.05416666666667,140.17825,141.79011111111112,car,93.92319917678832,255.0
30,140.20158055555555,136.05416666666667,140.17825,141.79011111111112,car,99.23676252365112,2835.0
30,140.20158055555555,136.05416666666667,140.17825,141.79011111111112,motorbike,71.97717428207397,1599.0
31,108.56641388888887,98.51918611111113,109.82591388888888,109.87379166666666,,,
32,137.036425,134.63280555555556,137.65397222222222,136.658825,car,91.18014574050903,168.0
32,137.036425,134.63280555555556,137.65397222222222,136.658825,car,86.72179579734802,462.0
33,112.12439722222224,107.34213888888888,114.13035833333332,109.9999888888889,car,76.05167627334595,154.0
34,119.77846944444444,117.21998055555557,121.49866666666668,117.3617,car,99.77929592132568,16872.0
34,119.77846944444444,117.21998055555557,121.49866666666668,117.3617,car,69.07089948654175,110.0
35,114.71575555555556,106.23290277777778,115.80114166666668,115.80769444444444,car,98.770010471344,6327.0
35,114.71575555555556,106.23290277777778,115.80114166666668,115.80769444444444,car,76.8176794052124,100.0
35,114.71575555555556,106.23290277777778,115.80114166666668,115.80769444444444,car,75.80307722091675,100.0
35,114.71575555555556,106.23290277777778,115.80114166666668,115.80769444444444,car,86.2672507762909,56.0
35,114.71575555555556,106.23290277777778,115.80114166666668,115.80769444444444,car,74.97656345367432,56.0
35,114.71575555555556,106.23290277777778,115.80114166666668,115.80769444444444,car,78.84458899497986,64.0
35,114.71575555555556,106.23290277777778,115.80114166666668,115.80769444444444,car,72.98274040222168,90.0
35,114.71575555555556,106.23290277777778,115.80114166666668,115.80769444444444,car,75.83193182945251,306.0
35,114.71575555555556,106.23290277777778,115.80114166666668,115.80769444444444,car,92.71749258041382,1696.0
36,128.9200277777778,124.432925,129.7121138888889,129.0458722222222,car,99.73902702331544,8712.0
37,129.8176861111111,123.4661111111111,129.64248333333333,132.4892861111111,car,95.49781680107117,19278.0
38,130.36191666666667,132.7833777777778,131.2788138888889,127.63338611111112,truck,62.23890781402588,28842.0
38,130.36191666666667,132.7833777777778,131.2788138888889,127.63338611111112,car,98.59510660171507,2178.0
39,105.4263111111111,96.19578888888888,106.95240277777778,105.94453055555556,car,99.93988871574402,4032.0
39,105.4263111111111,96.19578888888888,106.95240277777778,105.94453055555556,car,81.03757500648499,108.0
39,105.4263111111111,96.19578888888888,106.95240277777778,105.94453055555556,car,97.86730408668518,340.0
40,128.29676111111112,118.16116111111111,128.87922777777777,130.9848111111111,car,99.92266297340392,9017.0
40,128.29676111111112,118.16116111111111,128.87922777777777,130.9848111111111,car,96.2765097618103,288.0
40,128.29676111111112,118.16116111111111,128.87922777777777,130.9848111111111,car,60.78039407730103,80.0
40,128.29676111111112,118.16116111111111,128.87922777777777,130.9848111111111,car,99.40955638885498,1938.0
40,128.29676111111112,118.16116111111111,128.87922777777777,130.9848111111111,car,84.61807370185852,644.0
40,128.29676111111112,118.16116111111111,128.87922777777777,130.9848111111111,car,97.92353510856628,1632.0
41,107.567275,105.87067222222224,108.43320555555556,106.44109444444445,car,99.6796727180481,21160.0
41,107.567275,105.87067222222224,108.43320555555556,106.44109444444445,car,88.38818073272705,49.0
41,107.567275,105.87067222222224,108.43320555555556,106.44109444444445,car,65.93985557556152,56.0
41,107.567275,105.87067222222224,108.43320555555556,106.44109444444445,car,91.97526574134828,272.0
41,107.567275,105.87067222222224,108.43320555555556,106.44109444444445,car,65.02028703689575,255.0
41,107.567275,105.87067222222224,108.43320555555556,106.44109444444445,car,98.37443232536316,754.0
41,107.567275,105.87067222222224,108.43320555555556,106.44109444444445,car,97.10944294929504,1015.0
41,107.567275,105.87067222222224,108.43320555555556,106.44109444444445,car,99.54730272293092,2580.0
42,116.37258888888888,108.92098055555556,118.26318888888888,115.47170277777778,car,99.9288022518158,4150.0
42,116.37258888888888,108.92098055555556,118.26318888888888,115.47170277777778,car,62.0362401008606,154.0
42,116.37258888888888,108.92098055555556,118.26318888888888,115.47170277777778,car,85.79339385032654,210.0
42,116.37258888888888,108.92098055555556,118.26318888888888,115.47170277777778,car,93.63892674446106,567.0
42,116.37258888888888,108.92098055555556,118.26318888888888,115.47170277777778,car,99.48674440383913,1320.0
43,139.248925,136.93923333333333,140.18201666666667,138.25119444444445,car,99.41883087158205,16758.0
43,139.248925,136.93923333333333,140.18201666666667,138.25119444444445,car,80.49720525741577,9240.0
43,139.248925,136.93923333333333,140.18201666666667,138.25119444444445,car,90.1428520679474,741.0
43,139.248925,136.93923333333333,140.18201666666667,138.25119444444445,car,86.85182332992554,210.0
43,139.248925,136.93923333333333,140.18201666666667,138.25119444444445,car,61.99238896369934,150.0
43,139.248925,136.93923333333333,140.18201666666667,138.25119444444445,car,92.17270016670228,1134.0
43,139.248925,136.93923333333333,140.18201666666667,138.25119444444445,car,80.86612224578857,861.0
43,139.248925,136.93923333333333,140.18201666666667,138.25119444444445,car,90.02054333686829,1121.0
44,106.18001944444444,97.59751388888888,107.51314722222222,106.81227777777778,car,68.73548626899719,132.0
44,106.18001944444444,97.59751388888888,107.51314722222222,106.81227777777778,car,73.75340461730957,140.0
44,106.18001944444444,97.59751388888888,107.51314722222222,106.81227777777778,car,97.8177845478058,736.0
44,106.18001944444444,97.59751388888888,107.51314722222222,106.81227777777778,car,96.54761552810668,2784.0
45,94.08031666666666,94.76464166666666,94.79186944444444,92.42203055555557,car,99.192875623703,14030.0
45,94.08031666666666,94.76464166666666,94.79186944444444,92.42203055555557,car,92.88039207458496,44676.0
45,94.08031666666666,94.76464166666666,94.79186944444444,92.42203055555557,car,72.76848554611206,2610.0
45,94.08031666666666,94.76464166666666,94.79186944444444,92.42203055555557,car,98.38151335716248,182.0
45,94.08031666666666,94.76464166666666,94.79186944444444,92.42203055555557,car,81.46210312843323,420.0
45,94.08031666666666,94.76464166666666,94.79186944444444,92.42203055555557,car,98.48681688308716,1935.0
46,137.60538055555554,133.4410611111111,138.76081666666667,136.90493055555555,car,99.75214004516602,10164.0
46,137.60538055555554,133.4410611111111,138.76081666666667,136.90493055555555,car,82.11570978164673,2607.0
46,137.60538055555554,133.4410611111111,138.76081666666667,136.90493055555555,car,96.5005099773407,704.0
47,136.981,133.00045833333334,137.47952222222222,137.5089888888889,car,98.5062539577484,9248.0
47,136.981,133.00045833333334,137.47952222222222,137.5089888888889,motorbike,91.9012188911438,5742.0
48,104.91741666666668,96.68437777777778,105.74088055555556,106.42426944444443,car,95.15787363052368,135.0
48,104.91741666666668,96.68437777777778,105.74088055555556,106.42426944444443,car,99.5442509651184,1102.0
49,114.23560833333332,110.87832222222222,115.53973333333332,112.93664166666667,car,89.78416919708252,18252.0
49,114.23560833333332,110.87832222222222,115.53973333333332,112.93664166666667,car,99.92830753326416,6072.0
49,114.23560833333332,110.87832222222222,115.53973333333332,112.93664166666667,car,84.48936939239502,11120.0
49,114.23560833333332,110.87832222222222,115.53973333333332,112.93664166666667,car,66.46893620491028,228.0
