,Horodateur,Age,Gender,Origin,Residence,Percentage of lifetime in a city,Image1 ID,Image2 ID,Winner,Person ID
182,21/11/2021 11:42:13,21,Female,NE,Lausanne,0.865894,108,168,108,2131299.0
183,21/11/2021 11:42:15,21,Female,NE,Lausanne,0.865894,263,391,263,2131299.0
184,21/11/2021 11:42:22,21,Female,NE,Lausanne,0.865894,412,225,225,2131299.0
185,21/11/2021 11:42:24,21,Female,NE,Lausanne,0.865894,373,163,373,2131299.0
186,21/11/2021 11:42:28,21,Female,NE,Lausanne,0.865894,259,4,4,2131299.0
187,21/11/2021 11:42:31,21,Female,NE,Lausanne,0.865894,183,429,429,2131299.0
188,21/11/2021 11:42:34,21,Female,NE,Lausanne,0.865894,123,326,326,2131299.0
189,21/11/2021 11:42:41,21,Female,NE,Lausanne,0.865894,328,281,281,2131299.0
190,21/11/2021 11:42:45,21,Female,NE,Lausanne,0.865894,101,366,366,2131299.0
191,21/11/2021 11:42:49,21,Female,NE,Lausanne,0.865894,433,272,433,2131299.0
192,21/11/2021 11:43:01,21,Female,NE,Lausanne,0.865894,313,109,109,2131299.0
193,21/11/2021 11:43:09,21,Female,NE,Lausanne,0.865894,260,450,260,2131299.0
194,21/11/2021 11:43:12,21,Female,NE,Lausanne,0.865894,376,394,376,2131299.0
195,21/11/2021 11:43:16,21,Female,NE,Lausanne,0.865894,19,84,84,2131299.0
196,21/11/2021 11:43:23,21,Female,NE,Lausanne,0.865894,233,187,233,2131299.0
197,21/11/2021 11:43:25,21,Female,NE,Lausanne,0.865894,33,317,33,2131299.0
198,21/11/2021 11:43:30,21,Female,NE,Lausanne,0.865894,47,384,384,2131299.0
199,21/11/2021 11:43:39,21,Female,NE,Lausanne,0.865894,215,322,322,2131299.0
200,21/11/2021 11:43:43,21,Female,NE,Lausanne,0.865894,340,284,340,2131299.0
201,21/11/2021 11:43:45,21,Female,NE,Lausanne,0.865894,350,150,150,2131299.0
202,21/11/2021 11:43:49,21,Female,NE,Lausanne,0.865894,329,41,41,2131299.0
203,21/11/2021 11:43:53,21,Female,NE,Lausanne,0.865894,369,228,228,2131299.0
204,21/11/2021 11:43:55,21,Female,NE,Lausanne,0.865894,324,373,324,2131299.0
205,21/11/2021 11:43:57,21,Female,NE,Lausanne,0.865894,119,437,119,2131299.0
206,21/11/2021 11:43:59,21,Female,NE,Lausanne,0.865894,52,112,52,2131299.0
207,21/11/2021 11:44:03,21,Female,NE,Lausanne,0.865894,236,449,236,2131299.0
208,21/11/2021 11:44:06,21,Female,NE,Lausanne,0.865894,36,360,36,2131299.0
209,21/11/2021 11:44:09,21,Female,NE,Lausanne,0.865894,103,21,103,2131299.0
210,21/11/2021 11:44:13,21,Female,NE,Lausanne,0.865894,380,188,188,2131299.0
211,21/11/2021 11:44:16,21,Female,NE,Lausanne,0.865894,444,204,204,2131299.0
212,21/11/2021 11:44:19,21,Female,NE,Lausanne,0.865894,45,139,45,2131299.0
213,21/11/2021 11:44:23,21,Female,NE,Lausanne,0.865894,414,385,385,2131299.0
214,21/11/2021 11:44:25,21,Female,NE,Lausanne,0.865894,273,170,273,2131299.0
215,21/11/2021 11:44:28,21,Female,NE,Lausanne,0.865894,312,396,312,2131299.0
216,21/11/2021 11:44:31,21,Female,NE,Lausanne,0.865894,306,408,408,2131299.0
217,21/11/2021 11:44:34,21,Female,NE,Lausanne,0.865894,440,257,257,2131299.0
218,21/11/2021 11:44:43,21,Female,NE,Lausanne,0.865894,141,400,141,2131299.0
219,21/11/2021 11:44:45,21,Female,NE,Lausanne,0.865894,11,308,308,2131299.0
220,21/11/2021 11:44:47,21,Female,NE,Lausanne,0.865894,229,65,65,2131299.0
221,21/11/2021 11:44:49,21,Female,NE,Lausanne,0.865894,198,197,197,2131299.0
222,21/11/2021 11:44:51,21,Female,NE,Lausanne,0.865894,75,332,332,2131299.0
223,21/11/2021 11:44:55,21,Female,NE,Lausanne,0.865894,205,14,14,2131299.0
224,21/11/2021 11:50:22,22,Male,Europe,Lausanne,0.1760486,311,331,311,22311331.0
225,21/11/2021 11:50:26,22,Male,Europe,Lausanne,0.1760486,425,294,425,22311331.0
226,21/11/2021 11:50:28,22,Male,Europe,Lausanne,0.1760486,455,337,337,22311331.0
227,21/11/2021 11:50:31,22,Male,Europe,Lausanne,0.1760486,82,47,47,22311331.0
228,21/11/2021 11:50:33,22,Male,Europe,Lausanne,0.1760486,246,358,246,22311331.0
229,21/11/2021 11:50:36,22,Male,Europe,Lausanne,0.1760486,365,328,328,22311331.0
230,21/11/2021 11:50:39,22,Male,Europe,Lausanne,0.1760486,403,411,411,22311331.0
231,21/11/2021 11:50:42,22,Male,Europe,Lausanne,0.1760486,0,222,222,22311331.0
232,21/11/2021 11:50:44,22,Male,Europe,Lausanne,0.1760486,339,332,332,22311331.0
233,21/11/2021 11:50:47,22,Male,Europe,Lausanne,0.1760486,218,351,218,22311331.0
234,21/11/2021 11:50:49,22,Male,Europe,Lausanne,0.1760486,33,6,33,22311331.0
235,21/11/2021 11:50:51,22,Male,Europe,Lausanne,0.1760486,84,238,238,22311331.0
236,21/11/2021 11:50:53,22,Male,Europe,Lausanne,0.1760486,197,161,197,22311331.0
