,Image number,Object,Reliability,Size of box
1822,349,car,61.586689949035645,165
1823,349,car,93.46068501472473,476
1824,349,car,97.91332483291626,391
1825,349,person,79.72131967544556,308
1826,349,car,97.84935712814331,1296
1827,350,truck,79.68675494194031,8030
1828,350,car,99.59002733230591,2240
1829,350,car,94.32798027992249,2268
1830,350,car,85.58595180511475,690
1831,351,car,99.39720034599304,5831
1832,351,bicycle,68.9343512058258,10492
1833,351,car,89.31699991226196,198
1834,351,person,85.46820282936096,220
1835,351,person,76.0515570640564,518
1836,351,car,96.87373042106628,1633
1837,351,person,80.8738648891449,198
1838,351,car,99.48204159736633,2379
1839,352,person,95.71618437767029,2755
1840,352,person,80.61863780021667,2236
1841,352,person,98.44123721122742,6204
1842,352,car,88.9430820941925,588
1843,352,person,99.0991473197937,1260
1844,352,person,89.78439569473267,1640
1845,354,car,86.88563108444214,13886
1846,354,car,99.63092803955078,38480
1847,354,car,99.72681999206543,10296
1848,354,car,84.47544574737549,165
1849,354,car,61.23710870742798,165
1850,354,car,96.39136791229248,960
1851,354,car,97.44429588317871,1032
1852,354,bicycle,97.67037630081177,2052
1853,355,car,94.62831616401672,483
1854,356,car,78.56051325798035,1440
1855,357,person,74.65039491653442,180
1856,357,person,63.56468200683594,165
1857,357,car,76.86832547187805,156
1858,357,person,78.99541854858398,180
1859,357,car,84.16290879249573,132
1860,357,car,82.4224054813385,1152
1861,358,car,87.02665567398071,288
1862,358,car,80.85110783576965,240
1863,359,person,86.71611547470093,800
1864,359,car,94.14582848548889,1080
1865,359,motorbike,65.47781825065613,825
1866,360,traffic light,69.06972527503967,341
1867,360,traffic light,63.3445680141449,364
1868,360,car,87.90954947471619,150
1869,360,car,91.44218564033508,168
1870,360,car,73.3108639717102,754
1871,360,car,96.7833161354065,900
1872,360,car,97.52797484397888,2214
1873,361,car,97.10938334465027,13899
1874,361,bicycle,98.30069541931152,6048
1875,361,car,84.97526049613953,70
1876,361,car,96.34700417518616,912
1877,361,car,83.43238234519958,195
1878,361,car,66.94773435592651,638
1879,361,car,99.76664781570435,2546
1880,361,car,60.09547710418701,1485
1881,362,bicycle,77.3028016090393,4189
1882,362,car,91.5416955947876,144
1883,362,car,94.2733108997345,1221
1884,362,car,98.71401786804199,437
1885,362,car,91.01961255073547,252
1886,363,car,92.46578812599182,4446
1887,363,car,92.06650257110596,187
1888,363,car,94.64824199676514,266
1889,363,car,93.8709557056427,726
1890,363,car,99.46220517158508,1440
1891,364,car,99.95167851448059,28462
1892,364,truck,65.85930585861206,4758
1893,364,person,96.46689295768738,5814
1894,364,car,98.5099196434021,1080
1895,364,person,81.5450131893158,270
1896,364,person,66.62072539329529,560
1897,366,car,90.16140699386597,53568
1898,366,person,75.36336183547974,2478
1899,366,person,94.7529137134552,612
1900,366,car,82.51606225967407,195
1901,366,car,83.77847075462341,289
1902,366,person,91.29716753959656,1734
1903,366,person,96.35717868804932,1350
1904,366,car,99.18683767318726,2310
1905,367,car,71.01524472236633,14224
1906,367,car,94.80710029602051,8775
1907,367,person,99.02597069740295,3276
1908,367,car,99.73374009132385,9920
1909,367,car,99.7998595237732,1530
1910,367,car,98.0813205242157,1332
1911,367,car,96.00266814231873,414
1912,367,car,98.09466600418091,2150
1913,367,bicycle,82.04182386398315,1536
1914,368,person,77.47951149940491,782
1915,368,car,87.81495690345764,81
1916,368,car,75.07888078689575,72
1917,368,car,96.73638343811035,1189
1918,369,truck,67.66718626022339,2790
1919,369,person,70.17994523048401,1980
1920,369,car,99.04624223709106,1504
1921,369,person,70.97182869911194,1062
1922,369,handbag,65.81501364707947,273
1923,370,car,99.90985989570618,9396
1924,370,person,66.1595344543457,275
1925,370,car,99.66015219688416,2070
1926,371,motorbike,74.67138171195984,5436
1927,371,car,64.50838446617126,324
1928,371,car,98.94408583641052,2597
1929,372,car,99.96412992477417,57987
1930,372,car,87.76984214782715,5734
1931,373,car,99.52725172042847,4096
1932,373,person,60.66346764564514,350
1933,373,car,98.24060201644897,2548
1934,374,car,94.52945590019226,6984
1935,374,truck,87.15673089027405,10406
