Image number,Object,Reliability,Size of box
116,car,89.56409692764282,357
116,car,66.25257134437561,270
116,car,76.49997472763062,345
116,car,83.45157504081726,392
116,person,61.38164401054382,325
116,person,95.35328149795532,1586
117,car,98.7554967403412,2552
118,person,98.2344388961792,784
119,car,98.97285103797913,3456
119,car,77.00879573822021,224
120,car,96.7172622680664,1272
121,car,97.40471243858336,1475
121,car,70.34087777137756,880
124,car,98.75818490982056,20043
124,person,98.45530986785889,3192
125,car,99.8704195022583,38319
125,car,96.15618586540222,3392
125,car,99.5676815509796,9480
125,person,98.49010109901428,20100
125,car,98.00363779067992,1932
126,car,99.43149089813232,16485
126,car,99.03153777122498,9453
126,car,99.3939995765686,1927
126,car,94.05425786972046,1080
127,car,94.9738085269928,43824
127,car,96.43698930740356,3201
127,car,99.5127499103546,6440
127,car,84.64996814727783,195
127,car,95.57608366012572,1628
127,car,80.25732636451721,368
127,car,66.00441932678223,352
127,car,96.57573699951172,2607
128,person,99.53900575637816,8500
128,person,99.32811260223389,7747
130,car,98.68732690811156,7548
130,car,98.04273247718812,12730
130,car,91.23024940490724,286
130,car,90.92689752578735,989
130,car,99.22432899475098,980
130,car,97.42891788482666,1675
131,fire hydrant,67.50847101211548,286
133,car,97.3985195159912,4125
133,person,97.72813320159912,2349
133,car,93.13331246376038,165
133,car,65.82790613174438,88
134,traffic light,86.46489977836609,779
134,traffic light,78.8356363773346,736
135,traffic light,74.44733381271362,154
135,car,64.00082111358643,120
136,traffic light,62.45763897895813,209
136,car,96.18694186210632,611
136,car,95.64046859741212,656
137,truck,97.81275987625122,13932
137,car,99.67535734176636,18511
137,car,99.44208264350893,1312
138,car,99.51187372207642,3872
138,car,63.069313764572144,100
138,car,81.7704439163208,798
138,car,69.2584753036499,324
138,car,99.17140007019044,1558
139,car,95.85769176483154,11745
139,car,71.84677124023438,342
139,car,62.3525619506836,648
139,car,97.52004146575928,486
139,car,99.37135577201845,1443
139,car,99.85687732696532,2088
140,car,99.666428565979,3726
140,car,99.62403774261476,10248
140,traffic light,65.24598598480225,288
140,car,94.15637850761414,121
140,car,81.1180055141449,90
140,car,97.04707860946657,1216
140,car,96.74121141433716,238
140,car,91.67971611022948,624
141,car,63.446807861328125,140
141,car,62.276095151901245,210
141,person,94.46701407432556,230
141,car,98.5378086566925,1476
142,car,79.42375540733337,140
142,car,77.07209587097168,143
142,car,97.15456366539,696
142,car,99.16956424713136,2352
143,car,98.99433851242064,4160
143,traffic light,83.54683518409729,585
143,car,81.11935257911682,220
145,car,99.3621826171875,162630
145,car,97.81033396720886,3577
145,car,99.47448968887328,2117
145,car,90.8056378364563,1518
145,car,66.8529212474823,702
145,person,99.1390824317932,1584
146,car,99.0579068660736,6552
146,car,93.53240728378296,342
147,car,73.08694124221802,204
147,car,96.021568775177,1025
147,car,98.88063669204712,840
147,car,99.74393248558044,2542
149,person,99.12827014923096,2280
149,car,99.28601384162904,4131
149,car,98.50412011146544,8188
149,car,95.68883776664734,27090
149,car,73.80102872848511,120
149,car,95.06838321685792,2418
150,car,94.17536854743958,270
150,car,72.41057753562927,208
150,car,68.33627223968506,225
150,car,85.83061695098877,513
150,person,80.22934794425964,220
150,car,92.1800136566162,858
151,car,98.3888864517212,5372
151,car,94.16145086288452,483
152,car,95.70115208625792,19323
152,car,91.04356169700624,3870
152,car,87.69398927688599,10530
152,person,89.78146314620972,297
153,car,99.90100860595705,36540
153,car,98.8675892353058,4510
153,car,99.22471642494202,224
153,car,62.00195550918579,240
153,car,64.18598294258118,1209
154,car,98.05201888084412,32524
154,car,86.61699295043945,2256
154,car,98.11607599258424,6970
154,car,66.31460785865784,126
155,car,84.76197719573975,798
155,car,92.02463626861572,820
155,car,97.99162745475768,902
156,car,90.816068649292,9408
156,person,84.65092182159424,1120
156,car,91.74861907958984,221
156,car,91.62381291389464,130
156,car,95.85955142974854,924
156,car,99.38659071922302,2592
157,car,99.89586472511292,4368
157,car,95.1807975769043,195
157,car,99.11069869995116,768
159,truck,68.81394386291504,134940
159,person,87.60982155799866,7225
159,car,71.15886211395264,6844
160,car,96.73164486885072,33687
160,car,87.52503991127014,315
160,car,82.4562132358551,208
160,car,90.7220423221588,168
160,car,89.05434012413025,1519
160,car,89.36211466789246,350
160,car,98.35746884346008,2679
161,car,98.50776195526124,26167
161,car,99.18546080589294,6231
161,car,80.89410662651062,510
161,car,99.20881390571594,1365
161,car,99.21092987060548,2156
162,car,74.47240948677063,144
